Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,1u,C_0603_1608Metric,106.5,-119.275,90.0,top
C1,1u,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,89.5,-119.5,90.0,bottom
C10,1u,C_0603_1608Metric,88.775,-127.5,180.0,top
C11,0.1u,C_0603_1608Metric,101.0,-129.5,-90.0,top
C12,0.1u,C_0603_1608Metric,99.0,-129.5,-90.0,top
C13,0.1u,C_0603_1608Metric,105.0,-129.5,-90.0,top
C14,10u,C_0603_1608Metric,97.275,-139.5,0.0,top
C15,0.1u,C_0603_1608Metric,97.275,-141.5,0.0,top
C16,0.1u,C_0603_1608Metric,94.225,-142.5,0.0,top
C17,0.1u,C_0603_1608Metric,94.275,-132.5,180.0,top
C18,0.1u,C_0603_1608Metric,94.225,-144.5,0.0,top
C19,0.1u,C_0603_1608Metric,103.0,-129.5,-90.0,top
C2,47n,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,94.5,-119.5,270.0,bottom
C20,0.1u,C_0603_1608Metric,97.0,-132.725,-90.0,top
C21,0.1u,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,90.75,-154.0,90.0,bottom
C22,0.1u,C_0603_1608Metric,81.775,-140.5,0.0,top
C23,0.1u,C_0603_1608Metric,76.0,-149.175,0.0,top
C24,1u,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,95.75,-154.0,270.0,bottom
C25,0.1u,C_0603_1608Metric,76.00097,-147.175,0.0,top
C26,0.1u,C_0603_1608Metric,81.697352,-134.195882,0.0,top
C27,10u,C_0603_1608Metric,112.525,-121.77,0.0,top
C28,1u,C_0603_1608Metric,112.475,-123.6,0.0,top
C29,1u,C_0603_1608Metric,108.0,-123.4,180.0,top
C3,47n,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,102.5,-118.5,270.0,bottom
C4,0.1u,C_0603_1608Metric,94.275,-134.5,180.0,top
C5,1u,C_0603_1608Metric,85.5,-139.5,90.0,top
C6,10u,C_0603_1608Metric,107.0,-115.275,90.0,top
C7,1u,C_0603_1608Metric,76.00097,-145.175,0.0,top
C8,0.1u,C_0603_1608Metric,109.0,-115.275,90.0,top
C9,10u,C_0603_1608Metric,111.0,-115.275,90.0,top
D1,TSD05CDYFR,D_SOD-323,76.0,-129.35,0.0,top
D2,TSD05CDYFR,D_SOD-323,98.005954,-117.0,90.0,top
FB1,FerriteBead_Small,R_0402_1005Metric,76.265,-143.175,180.0,top
J1,Barrel_Jack,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,75.885,-123.65,90.0,bottom
J2,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,89.5,-113.5,90.0,bottom
J3,Conn_01x06,PinSocket_1x09_P2.54mm_Vertical,112.5,-136.42,180.0,top
J5,Barrel_Jack,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,75.885,-151.5,270.0,bottom
J6,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,94.5,-113.5,90.0,bottom
JP2,Jumper_2_Bridged,R_0603_1608Metric,108.025,-125.0,0.0,top
R1,100,R_0603_1608Metric,96.175,-148.5,180.0,top
R10,10,R_0603_1608Metric,108.0,-135.0,180.0,top
R11,10,R_0603_1608Metric,108.0,-137.0,180.0,top
R12,10,R_0603_1608Metric,108.0,-139.0,180.0,top
R13,10,R_0603_1608Metric,108.0,-131.0,180.0,top
R14,10,R_0603_1608Metric,108.0,-129.0,180.0,top
R15,10,R_0603_1608Metric,106.5,-143.5,180.0,top
R16,10,R_0603_1608Metric,106.5,-145.5,180.0,top
R17,33,R_0603_1608Metric,106.5,-147.5,180.0,top
R19,2.4k,R_0603_1608Metric,79.0,-148.175,90.0,top
R2,33,R_0603_1608Metric,108.0,-127.0,0.0,top
R20,7.5k,R_0603_1608Metric,79.0,-144.675,90.0,top
R22,1Meg,R_0603_1608Metric,73.0,-129.675,-90.0,top
R23,1Meg,R_0603_1608Metric,79.0,-129.675,90.0,top
R24,1Meg,R_0603_1608Metric,98.5,-114.0,180.0,top
R25,1Meg,R_0603_1608Metric,98.5,-120.0,0.0,top
R26,1k,R_0603_1608Metric,85.5,-136.325,-90.0,top
R27,10k,R_0603_1608Metric,101.675,-125.594741,0.0,top
R28,10k,R_0603_1608Metric,95.319223,-123.905259,180.0,top
R3,100,R_0603_1608Metric,95.275,-126.0,0.0,top
R4,100,R_0603_1608Metric,101.662928,-123.5,0.0,top
R5,1Meg,R_0603_1608Metric,96.175,-146.5,0.0,top
R6,10,R_0603_1608Metric,106.5,-141.5,180.0,top
R7,1k,R_0603_1608Metric,94.0,-137.175,-90.0,top
R8,33,R_0603_1608Metric,97.0,-129.5,-90.0,top
R9,10,R_0603_1608Metric,108.0,-133.0,180.0,top
U1,LME49721,SOIC-8_3.9x4.9mm_P1.27mm,89.905,-142.0,-90.0,top
U2,MCP3461RT-E/ST,TSSOP-20_4.4x6.5mm_P0.65mm,102.1375,-134.925,0.0,top
U3,NCP163ASN330T1G,SOT-23-5,109.5,-119.0,-90.0,top
U4,REF35120QDBVR,SOT-23-6,81.55,-137.3625,90.0,top
U5,MCP48CVD21T-E/MF,DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,101.95,-142.5,0.0,top
U9,LME49721,SOIC-8_3.9x4.9mm_P1.27mm,89.905,-132.475,-90.0,top
