Comment,Designator,Footprint,LCSC,Quantity
1k,"R12,R13,R23,R24,R4,R6,R8",R_0402_1005Metric,C11702,7
0.1u,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C26,C27,C3",C_0402_1005Metric,C1525,14
15p,"C21,C22",C_0402_1005Metric,C1548,2
10u,"C6,C7",C_0402_1005Metric,C15525,2
ABM8-272-T3,Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,C20625731,1
LED,"D1,D2,D3,D4",D_0603_1608Metric,C2286,4
4.7u,"C23,C24,C25,C28",C_0402_1005Metric,C23733,4
27,"R17,R18",R_0402_1005Metric,C25092,2
10k,"R1,R14,R16,R19,R25,R26,R28,R3",R_0402_1005Metric,C25744,8
10,"R10,R11,R15,R27,R7,R9",R_0402_1005Metric,C25905,6
30.9k,"R2,R5",R_0402_1005Metric,C270615,2
RP2350A-QFN60,U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,C42411118,1
22u,"C2,C8",C_0603_1608Metric,C59461,2
NMOS,"Q1,Q2,Q3,Q4",SOT-23-3,C8545,4
10uF,"C10,C4,C5,C9",C_0603_1608Metric,C96446,4
BOOT_SEL,SW3,SW_PUSH_6mm_H5mm,,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,,1
D_TVS,D6,D_SOD-323,,1
SW_Push,SW1,SW_PUSH_6mm_H5mm,,1
3.3uH,L1,WE-LQS_4025,,1
Battery,UB1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",,1
USB_B_Micro,J1,USB_Micro-AB_Molex_47590-0001,,1
RUN_SW,SW4,SW_PUSH_6mm_H5mm,,1
SW_Push,SW2,SW_PUSH_6mm_H5mm,,1
0R,R22,R_0402_1005Metric,,1
D_TVS,D7,D_SOD-323,,1
TPS562202,U2,SOT-563,,1
Conn_01x03,J2,PinSocket_1x03_P2.54mm_Vertical,,1
D_TVS,D5,D_SOD-323,,1
3.3uH,L2,WE-LQS_4025,,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
Conn_01x09,J3,PinSocket_1x09_P2.54mm_Vertical,,1
TestPoint,TP3,TestPoint_Pad_D2.0mm,,1
TestPoint,TP4,TestPoint_Pad_D2.0mm,,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
RotaryEncoder,ENC1,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Nxxxx,,1
Conn_01x03,BATT_USB_JMP1,PinSocket_1x03_P2.54mm_Vertical,,1
