Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BATT_USB_JMP1,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,177.71,-106.75,-90.0,top
C1,0.1u,C_0402_1005Metric,197.5,-116.855,-90.0,top
C10,10uF,C_0603_1608Metric,202.750143,-94.349008,-45.0,top
C11,0.1u,C_0402_1005Metric,201.02,-96.5,45.0,top
C12,0.1u,C_0402_1005Metric,193.708561,-100.410069,135.0,top
C13,0.1u,C_0402_1005Metric,198.0,-96.0,135.0,top
C14,0.1u,C_0402_1005Metric,197.256048,-107.193952,-135.0,top
C15,0.1u,C_0402_1005Metric,201.974833,-97.406696,45.0,top
C16,0.1u,C_0402_1005Metric,201.620126,-107.026395,-45.0,top
C17,0.1u,C_0402_1005Metric,198.117427,-108.12914,-135.0,top
C18,0.1u,C_0402_1005Metric,205.660589,-105.174964,45.0,top
C19,0.1u,C_0402_1005Metric,205.660589,-103.160589,-45.0,top
C2,22u,C_0603_1608Metric,193.089427,-115.952429,0.0,top
C20,0.1u,C_0402_1005Metric,199.160589,-108.839411,-135.0,top
C21,15p,C_0402_1005Metric,196.339411,-96.839411,-45.0,top
C22,15p,C_0402_1005Metric,194.810523,-96.304173,-135.0,top
C23,4.7u,C_0402_1005Metric,201.60592,-108.398244,-45.0,top
C24,4.7u,C_0402_1005Metric,207.0,-113.72,-90.0,top
C25,4.7u,C_0402_1005Metric,207.0,-115.632979,90.0,top
C26,100n,C_0402_1005Metric,203.786877,-98.889315,45.0,top
C27,100n,C_0402_1005Metric,196.167157,-106.142391,-135.0,top
C28,4.7u,C_0402_1005Metric,195.411109,-98.886343,135.0,top
C3,0.1u,C_0402_1005Metric,195.905,-120.45,180.0,top
C4,10uF,C_0603_1608Metric,177.3,-86.62,90.0,top
C5,10uF,C_0603_1608Metric,209.289682,-81.494737,0.0,top
C6,10u,C_0402_1005Metric,196.5,-116.855,-90.0,top
C7,10u,C_0402_1005Metric,195.43,-116.855,-90.0,top
C8,22u,C_0603_1608Metric,190.022718,-115.936551,180.0,top
C9,10uF,C_0603_1608Metric,199.617087,-93.415719,0.0,top
D1,LED,D_0603_1608Metric,215.65,-97.5375,-90.0,top
D2,LED,D_0603_1608Metric,213.4,-97.5375,-90.0,top
D3,LED,D_0603_1608Metric,211.1,-97.5375,-90.0,top
D4,LED,D_0603_1608Metric,209.05,-97.6,-90.0,top
D5,D_TVS,D_SOD-323,184.44,-113.75,180.0,top
D6,D_TVS,D_SOD-323,184.44,-115.8,180.0,top
D7,D_TVS,D_SOD-323,184.44,-117.75,180.0,top
ENC1,RotaryEncoder,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Nxxxx,197.5,-84.825,90.0,top
J1,USB_B_Micro,USB_Micro-AB_Molex_47590-0001,177.8375,-117.25,-90.0,top
J2,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,219.5,-118.0,0.0,top
J3,Conn_01x09,PinSocket_1x09_P2.54mm_Vertical,219.5,-98.87,0.0,bottom
L1,3.3uH,WE-LQS_4025,192.5,-119.2,90.0,top
L2,3.3uH,WE-LQS_4025,203.275,-115.25,0.0,top
Q1,NMOS,SOT-23-3,212.55,-93.2125,90.0,top
Q2,NMOS,SOT-23-3,212.95,-102.1625,-90.0,top
Q3,NMOS,SOT-23-3,207.65,-93.2125,90.0,top
Q4,NMOS,SOT-23-3,208.105,-102.0775,-90.0,top
R1,10k,R_0402_1005Metric,197.644627,-121.5,180.0,top
R10,10,R_0402_1005Metric,205.236632,-94.652901,90.0,top
R11,10,R_0402_1005Metric,205.9,-100.7,-90.0,top
R12,1k,R_0402_1005Metric,210.1,-92.67,-90.0,top
R13,1k,R_0402_1005Metric,205.25,-92.68,-90.0,top
R14,10k,R_0402_1005Metric,200.025,-91.0,0.0,top
R15,5k,R_0402_1005Metric,200.025,-92.0,0.0,top
R16,10k,R_0402_1005Metric,179.19878,-84.5016,90.0,top
R17,27,R_0402_1005Metric,203.054693,-105.62879,-45.0,top
R18,27,R_0402_1005Metric,202.341946,-106.339146,-45.0,top
R19,10k,R_0402_1005Metric,209.8,-84.05,0.0,top
