SAMPLE_NUM,HEX_VALUE,BINARY_17BIT
0,0x30783046,00011000001000110
1,0x46464646,00100011001000110
2,0x46430D0A,10000110100001010
3,0x30783046,00011000001000110
4,0x46464646,00100011001000110
5,0x46450D0A,10000110100001010
6,0x30783046,00011000001000110
7,0x46464646,00100011001000110
8,0x46420D0A,00000110100001010
9,0x30783046,00011000001000110
10,0x46464646,00100011001000110
11,0x46430D0A,10000110100001010
12,0x30783046,00011000001000110
13,0x46464646,00100011001000110
14,0x46410D0A,10000110100001010
15,0x30783046,00011000001000110
16,0x46464646,00100011001000110
17,0x46420D0A,00000110100001010
18,0x30783046,00011000001000110
19,0x46464646,00100011001000110
20,0x46450D0A,10000110100001010
21,0x30783046,00011000001000110
22,0x46464646,00100011001000110
23,0x46440D0A,00000110100001010
24,0x30783046,00011000001000110
25,0x46464646,00100011001000110
26,0x46420D0A,00000110100001010
27,0x30783046,00011000001000110
28,0x46464646,00100011001000110
29,0x46430D0A,10000110100001010
30,0x30783046,00011000001000110
31,0x46464646,00100011001000110
32,0x46460D0A,00000110100001010
33,0x30783046,00011000001000110
34,0x46464646,00100011001000110
35,0x46420D0A,00000110100001010
36,0x30783046,00011000001000110
37,0x46464646,00100011001000110
38,0x46420D0A,00000110100001010
39,0x30783046,00011000001000110
40,0x46464646,00100011001000110
41,0x46420D0A,00000110100001010
42,0x30783046,00011000001000110
43,0x46464646,00100011001000110
44,0x46430D0A,10000110100001010
45,0x30783046,00011000001000110
46,0x46464646,00100011001000110
47,0x46450D0A,10000110100001010
48,0x30783046,00011000001000110
49,0x46464646,00100011001000110
50,0x46430D0A,10000110100001010
51,0x30783046,00011000001000110
52,0x46464646,00100011001000110
53,0x46450D0A,10000110100001010
54,0x30783046,00011000001000110
55,0x46464646,00100011001000110
56,0x46430D0A,10000110100001010
57,0x30783046,00011000001000110
58,0x46464646,00100011001000110
59,0x46420D0A,00000110100001010
60,0x30783046,00011000001000110
61,0x46464646,00100011001000110
62,0x46430D0A,10000110100001010
63,0x30783046,00011000001000110
